content,author,label
O ile my podnieśliśmy pensję minimalną w czasie 8 lat? (…) o ponad 90 proc.,Izabela Leszczyna,Fałsz
W rankingu praworządności World Justice Project w 2020 r. Polska znów spadła na niższą pozycję.,Hanna Gill-Piątek,Prawda
"Na Uniwersytecie Warszawskim powstał taki raport, który jest oczywiście państwu znany, z którego wyraźnie wynika, że spółki Skarbu Państwa mają bardzo szczególne preferencje, lokując swoje zamówienia reklamowe w mediach. To jest zresztą spora kwota, bo w 2019 r. spółki Skarbu Państwa wydały prawie 1200 mln zł tylko na reklamę medialną (…) poza Internetem itd.",Dariusz Rosati,Prawda
Średnia emerytura w Polsce kobiet i mężczyzn różni się aż o 1000 zł.,Małgorzata Kidawa-Błońska,Prawda
"Proszę mi pokazać (…) jedną osobę skazaną przez Trybunał Stanu od czasu, kiedy Trybunał Stanu w Polsce, wolnej, tak zwanej, powstał. Proszę mi pokazać ludzi, urzędników państwowych, którzy byli skazani za korupcję, za malwersację. Nie ma, nie istnieje.",Paweł Kukiz,Fałsz
"A ile wałów przeciwpowodziowych? Bo w czasach rządów PO co roku budowano ich setki kilometrów. W 2011 i 2012 r. 300 km rocznie, w 2014 r. – 308 km, w 2015 r. – 240. W drugiej kadencji rządów Platformy najmniej wybudowano ich w 2013 r. – 156 km. A wiecie, ile kilometrów wałów antypowodziowych wybudowano przez cały okres rządów PiS? (…) 119 km. Czyli przez 5 lat rządów PiS wybudowaliście mniej niż w najgorszym roku rządów PO.",Aleksander Miszalski,Manipulacja
"W ciągu jednego tylko roku 2017, wzrasta ściągalność podatku VAT o 30 mld. A ile wzrasta podatek VAT w czasach Platformy Obywatelskiej przez 8 lat? (…) też 30 mld.",Mateusz Morawiecki,Manipulacja
"Dopuszczalny poziom, według WHO, pył PM2,5 (…) jest przekroczony na całym obszarze kraju. A PM10 (…) dotyczą połowy powiatów. (…) Szacowana liczba osób, która żyje w Polsce na terenie, gdzie jest przekroczony PM10, to 24 mln osób.",Beata Małecka-Libera,Prawda
"Po pierwsze tych kobiet polskich na stanowiskach menadżerskich jest bardzo dużo. Jesteśmy powyżej europejskiej średniej. Jesteśmy drugim państwem po Litwie, jeśli chodzi o kobiety na wysokich menadżerskich stanowiskach. Podobnie, jeżeli chodzi o te nierówności płacowe damsko-męskie. Tutaj także jesteśmy poniżej europejskiej średniej, która wynosi niemal 20 proc. a w Polsce to 8 proc.",Jadwiga Emilewicz,Manipulacja
"Uczciwie też, żeby powiedzieli, że 85 proc. środków na tę inwestycję (tunel do Świnoujścia- przyp. Demagog) pochodzi z Unii Europejskiej, a 15 proc. daje samorząd.",Tomasz Siemoniak,Prawda
W Polsce nie leczy się więźniów. Według wszelkich konwencji międzynarodowych nieleczenie człowieka uwięzionego jest torturą.,Piotr Ikonowicz,Manipulacja
"W Polsce dzisiaj Kościół jest drugim właścicielem, po Skarbie Państwa, gruntów.",Robert Biedroń,Nieweryfikowalne
